pincode,district,state_name,latitude,longitude
833105,WEST SINGHBHUM,JHARKHAND,22.493095,85.403953
833106,WEST SINGHBHUM,JHARKHAND,21.991795,81.903116
833201,WEST SINGHBHUM,JHARKHAND,22.546127,85.808009
833202,WEST SINGHBHUM,JHARKHAND,22.505676,85.819453
833203,WEST SINGHBHUM,JHARKHAND,22.440031,85.660445
833204,WEST SINGHBHUM,JHARKHAND,22.808081,85.724841
833212,WEST SINGHBHUM,JHARKHAND,22.546127,85.808009
833213,WEST SINGHBHUM,JHARKHAND,22.546127,85.808009
833214,WEST SINGHBHUM,JHARKHAND,22.293313,85.784186
833215,WEST SINGHBHUM,JHARKHAND,22.827177,85.075026
833216,SARAIKELA KHARSAWAN,JHARKHAND,22.745208,85.812242
833217,WEST SINGHBHUM,JHARKHAND,21.705476,85.511536
833218,WEST SINGHBHUM,JHARKHAND,22.29009,85.622688
833219,SARAIKELA KHARSAWAN,JHARKHAND,22.649192,86.108222
833220,SARAIKELA KHARSAWAN,JHARKHAND,22.662019,85.726778
833221,WEST SINGHBHUM,JHARKHAND,22.399964,85.618654
833222,WEST SINGHBHUM,JHARKHAND,22.546127,85.808009
833223,WEST SINGHBHUM,JHARKHAND,22.546127,85.808009
834001,RANCHI,JHARKHAND,23.365904,85.326359
834002,RANCHI,JHARKHAND,23.342205,85.316059
834003,RANCHI,JHARKHAND,23.361847,85.19731
834004,RANCHI,JHARKHAND,23.304751,85.272063
834005,RANCHI,JHARKHAND,23.384778,85.287222
834006,RANCHI,JHARKHAND,23.436785,85.27409
